"CleanupSiteID","FacilitySiteID","SiteName","AlternateSiteNames","SiteStatus","Address","City","ZipCode","County","Region","ResponsibleUnit","Latitude","Longitude","Acreage","PublicFundingAmount","PrivateFundingAmount","PublicRedevelopmentPercent","PrivateRedevelopmentPercent","HabitatRestoration","ContaminantName","GroundWater","SurfaceWater","Soil","Sediment","Air","Bedrock"
"2803","2472930","PAKONEN BOATYARD","","Cleanup Started","700 Block of HWY 101","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.97239","-123.80196","5.2","$276,450.00","","","","False","Tributyltin","","","","Confirmed Above Cleanup Levels","",""
"4987","1126","Weyerhaeuser Sawmill Aberdeen/Seaport Landing","WEYERHAEUSER ABERDEEN SAWMILL,WEYERHAEUSER COMPANY ABERDEEN,WEYERHAEUSER SAWMILL,Weyerhaeuser Sawmill Aberdeen","Cleanup Started","500 N CUSTER ST","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.9726285806027","-123.800457635363","22","$348,954.00","","","","False","Dioxin/Dibenzofuran Compounds","","","","Confirmed Above Cleanup Levels","",""
"4987","1126","Weyerhaeuser Sawmill Aberdeen/Seaport Landing","WEYERHAEUSER ABERDEEN SAWMILL,WEYERHAEUSER COMPANY ABERDEEN,WEYERHAEUSER SAWMILL,Weyerhaeuser Sawmill Aberdeen","Cleanup Started","500 N CUSTER ST","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.9726285806027","-123.800457635363","22","$348,954.00","","","","False","Mercury","","","","Confirmed Above Cleanup Levels","",""
"4987","1126","Weyerhaeuser Sawmill Aberdeen/Seaport Landing","WEYERHAEUSER ABERDEEN SAWMILL,WEYERHAEUSER COMPANY ABERDEEN,WEYERHAEUSER SAWMILL,Weyerhaeuser Sawmill Aberdeen","Cleanup Started","500 N CUSTER ST","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.9726285806027","-123.800457635363","22","$348,954.00","","","","False","Metals Priority Pollutants","Confirmed Above Cleanup Levels","","Remediated","","",""
"4987","1126","Weyerhaeuser Sawmill Aberdeen/Seaport Landing","WEYERHAEUSER ABERDEEN SAWMILL,WEYERHAEUSER COMPANY ABERDEEN,WEYERHAEUSER SAWMILL,Weyerhaeuser Sawmill Aberdeen","Cleanup Started","500 N CUSTER ST","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.9726285806027","-123.800457635363","22","$348,954.00","","","","False","Other Deleterious Substances","","","","Confirmed Above Cleanup Levels","",""
"4987","1126","Weyerhaeuser Sawmill Aberdeen/Seaport Landing","WEYERHAEUSER ABERDEEN SAWMILL,WEYERHAEUSER COMPANY ABERDEEN,WEYERHAEUSER SAWMILL,Weyerhaeuser Sawmill Aberdeen","Cleanup Started","500 N CUSTER ST","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.9726285806027","-123.800457635363","22","$348,954.00","","","","False","Other Non-Halogenated Organics","","","","Confirmed Above Cleanup Levels","",""
"4987","1126","Weyerhaeuser Sawmill Aberdeen/Seaport Landing","WEYERHAEUSER ABERDEEN SAWMILL,WEYERHAEUSER COMPANY ABERDEEN,WEYERHAEUSER SAWMILL,Weyerhaeuser Sawmill Aberdeen","Cleanup Started","500 N CUSTER ST","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.9726285806027","-123.800457635363","22","$348,954.00","","","","False","Petroleum-Diesel","","","","Confirmed Above Cleanup Levels","",""
"4987","1126","Weyerhaeuser Sawmill Aberdeen/Seaport Landing","WEYERHAEUSER ABERDEEN SAWMILL,WEYERHAEUSER COMPANY ABERDEEN,WEYERHAEUSER SAWMILL,Weyerhaeuser Sawmill Aberdeen","Cleanup Started","500 N CUSTER ST","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.9726285806027","-123.800457635363","22","$348,954.00","","","","False","Petroleum-Other","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","Confirmed Above Cleanup Levels","",""
"4987","1126","Weyerhaeuser Sawmill Aberdeen/Seaport Landing","WEYERHAEUSER ABERDEEN SAWMILL,WEYERHAEUSER COMPANY ABERDEEN,WEYERHAEUSER SAWMILL,Weyerhaeuser Sawmill Aberdeen","Cleanup Started","500 N CUSTER ST","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.9726285806027","-123.800457635363","22","$348,954.00","","","","False","Phenolic Compounds","Confirmed Above Cleanup Levels","","Remediated","Confirmed Above Cleanup Levels","",""
"4987","1126","Weyerhaeuser Sawmill Aberdeen/Seaport Landing","WEYERHAEUSER ABERDEEN SAWMILL,WEYERHAEUSER COMPANY ABERDEEN,WEYERHAEUSER SAWMILL,Weyerhaeuser Sawmill Aberdeen","Cleanup Started","500 N CUSTER ST","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.9726285806027","-123.800457635363","22","$348,954.00","","","","False","Polycyclic Aromatic Hydrocarbons","","","","Confirmed Above Cleanup Levels","",""
"12944","16193","Wishkah & Whiting Properties","","Awaiting Cleanup","300 Block of River Street","Aberdeen","98520","Grays Harbor","Southwest","Southwest","46.971929","-123.812785","5.6","$133,895.00","","","","False","Arsenic","Confirmed Above Cleanup Levels","","","","",""
"12944","16193","Wishkah & Whiting Properties","","Awaiting Cleanup","300 Block of River Street","Aberdeen","98520","Grays Harbor","Southwest","Southwest","46.971929","-123.812785","5.6","$133,895.00","","","","False","Lead","Confirmed Above Cleanup Levels","","","","",""
"12944","16193","Wishkah & Whiting Properties","","Awaiting Cleanup","300 Block of River Street","Aberdeen","98520","Grays Harbor","Southwest","Southwest","46.971929","-123.812785","5.6","$133,895.00","","","","False","Petroleum-Diesel","Confirmed Above Cleanup Levels","","","","",""
"12944","16193","Wishkah & Whiting Properties","","Awaiting Cleanup","300 Block of River Street","Aberdeen","98520","Grays Harbor","Southwest","Southwest","46.971929","-123.812785","5.6","$133,895.00","","","","False","Petroleum-Other","Confirmed Above Cleanup Levels","","","","",""
"12944","16193","Wishkah & Whiting Properties","","Awaiting Cleanup","300 Block of River Street","Aberdeen","98520","Grays Harbor","Southwest","Southwest","46.971929","-123.812785","5.6","$133,895.00","","","","False","Polycyclic Aromatic Hydrocarbons","Confirmed Above Cleanup Levels","","","","",""
"2553","62285426","Rainier Court","D Leonard & Sons,Rainier Court Associates 2002-01 LLC","Cleanup Started","3700 RAINIER AVE S","SEATTLE","98144","King","Northwest","Northwest","47.571007","-122.291931","6.47","$3,472,299.00","$660,000.00","","","False","Metals Priority Pollutants","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"2553","62285426","Rainier Court","D Leonard & Sons,Rainier Court Associates 2002-01 LLC","Cleanup Started","3700 RAINIER AVE S","SEATTLE","98144","King","Northwest","Northwest","47.571007","-122.291931","6.47","$3,472,299.00","$660,000.00","","","False","Pesticides-Unspecified","Below Cleanup Levels","","Below Cleanup Levels","","",""
"2553","62285426","Rainier Court","D Leonard & Sons,Rainier Court Associates 2002-01 LLC","Cleanup Started","3700 RAINIER AVE S","SEATTLE","98144","King","Northwest","Northwest","47.571007","-122.291931","6.47","$3,472,299.00","$660,000.00","","","False","Petroleum Products-Unspecified","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"2553","62285426","Rainier Court","D Leonard & Sons,Rainier Court Associates 2002-01 LLC","Cleanup Started","3700 RAINIER AVE S","SEATTLE","98144","King","Northwest","Northwest","47.571007","-122.291931","6.47","$3,472,299.00","$660,000.00","","","False","Petroleum-Diesel","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"2553","62285426","Rainier Court","D Leonard & Sons,Rainier Court Associates 2002-01 LLC","Cleanup Started","3700 RAINIER AVE S","SEATTLE","98144","King","Northwest","Northwest","47.571007","-122.291931","6.47","$3,472,299.00","$660,000.00","","","False","Polychlorinated biPhenyls (PCB)","Below Cleanup Levels","","Below Cleanup Levels","","",""
"2553","62285426","Rainier Court","D Leonard & Sons,Rainier Court Associates 2002-01 LLC","Cleanup Started","3700 RAINIER AVE S","SEATTLE","98144","King","Northwest","Northwest","47.571007","-122.291931","6.47","$3,472,299.00","$660,000.00","","","False","Polycyclic Aromatic Hydrocarbons","Below Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
